,player_id,game_id,this_half,stat_type,stat_value,actual_play
25486,bettm001,TOR201604080,1_0,AB,1,K
25485,bettm001,TOR201604080,1_0,K,1,K
25484,bettm001,TOR201604080,1_0,PA,1,K
25483,bettm001,TOR201604080,1_0,LOB,0,K
25482,bettm001,TOR201604080,1_0,RLSP,0,K
25481,pedrd001,TOR201604080,1_0,AB,1,K
25480,pedrd001,TOR201604080,1_0,K,1,K
25479,pedrd001,TOR201604080,1_0,PA,1,K
25478,pedrd001,TOR201604080,1_0,LOB,0,K
25477,pedrd001,TOR201604080,1_0,RLSP,0,K
25476,bogax001,TOR201604080,1_0,AB,1,3/G
25475,bogax001,TOR201604080,1_0,PA,1,3/G
25474,bogax001,TOR201604080,1_0,LOB,0,3/G
25473,bogax001,TOR201604080,1_0,RLSP,0,3/G
25472,pillk001,TOR201604080,1_1,AB,1,T9/L
25471,pillk001,TOR201604080,1_1,PA,1,T9/L
25470,pillk001,TOR201604080,1_1,H,1,T9/L
25469,pillk001,TOR201604080,1_1,T,1,T9/L
25468,donaj001,TOR201604080,1_1,AB,1,K
25467,donaj001,TOR201604080,1_1,K,1,K
25466,donaj001,TOR201604080,1_1,PA,1,K
25465,donaj001,TOR201604080,1_1,LOB,1,K
25464,donaj001,TOR201604080,1_1,RLSP,1,K
25463,bautj002,TOR201604080,1_1,PA,1,W
25462,bautj002,TOR201604080,1_1,W,1,W
25461,encae001,TOR201604080,1_1,SF,1,8/L/SF.3-H
25460,encae001,TOR201604080,1_1,PA,1,8/L/SF.3-H
25459,pillk001,TOR201604080,1_1,R,1,8/L/SF.3-H
25458,encae001,TOR201604080,1_1,RBI,1,8/L/SF.3-H
25457,tulot001,TOR201604080,1_1,PA,1,W.1-2
25456,tulot001,TOR201604080,1_1,W,1,W.1-2
25455,saunm001,TOR201604080,1_1,AB,1,K
25454,saunm001,TOR201604080,1_1,K,1,K
25453,saunm001,TOR201604080,1_1,PA,1,K
25452,saunm001,TOR201604080,1_1,LOB,2,K
25451,saunm001,TOR201604080,1_1,RLSP,1,K
25450,ortid001,TOR201604080,2_0,AB,1,K
25449,ortid001,TOR201604080,2_0,K,1,K
25448,ortid001,TOR201604080,2_0,PA,1,K
25447,ortid001,TOR201604080,2_0,LOB,0,K
25446,ortid001,TOR201604080,2_0,RLSP,0,K
25445,ramih003,TOR201604080,2_0,AB,1,S8/G+.BX2(84)
25444,ramih003,TOR201604080,2_0,PA,1,S8/G+.BX2(84)
25443,ramih003,TOR201604080,2_0,H,1,S8/G+.BX2(84)
25442,shawt001,TOR201604080,2_0,AB,1,D9/F
25441,shawt001,TOR201604080,2_0,PA,1,D9/F
25440,shawt001,TOR201604080,2_0,H,1,D9/F
25439,shawt001,TOR201604080,2_0,D,1,D9/F
25438,holtb002,TOR201604080,2_0,AB,1,D8/L.2-H
25437,holtb002,TOR201604080,2_0,PA,1,D8/L.2-H
25436,holtb002,TOR201604080,2_0,H,1,D8/L.2-H
25435,holtb002,TOR201604080,2_0,D,1,D8/L.2-H
25434,shawt001,TOR201604080,2_0,R,1,D8/L.2-H
25433,holtb002,TOR201604080,2_0,RBI,1,D8/L.2-H
25432,hanir001,TOR201604080,2_0,PA,1,W
25431,hanir001,TOR201604080,2_0,W,1,W
25430,bradj001,TOR201604080,2_0,AB,1,43/G
25429,bradj001,TOR201604080,2_0,PA,1,43/G
25428,bradj001,TOR201604080,2_0,LOB,2,43/G
25427,bradj001,TOR201604080,2_0,RLSP,1,43/G
25426,martr004,TOR201604080,2_1,AB,1,K
25425,martr004,TOR201604080,2_1,K,1,K
25424,martr004,TOR201604080,2_1,PA,1,K
25423,martr004,TOR201604080,2_1,LOB,0,K
25422,martr004,TOR201604080,2_1,RLSP,0,K
25421,goinr001,TOR201604080,2_1,AB,1,43/G
25420,goinr001,TOR201604080,2_1,PA,1,43/G
25419,goinr001,TOR201604080,2_1,LOB,0,43/G
25418,goinr001,TOR201604080,2_1,RLSP,0,43/G
25417,barnd001,TOR201604080,2_1,AB,1,S6/G
25416,barnd001,TOR201604080,2_1,PA,1,S6/G
25415,barnd001,TOR201604080,2_1,H,1,S6/G
25414,pillk001,TOR201604080,2_1,AB,1,53/G
25413,pillk001,TOR201604080,2_1,PA,1,53/G
25412,pillk001,TOR201604080,2_1,LOB,1,53/G
25411,pillk001,TOR201604080,2_1,RLSP,0,53/G
25410,bettm001,TOR201604080,3_0,AB,1,53/G
25409,bettm001,TOR201604080,3_0,PA,1,53/G
25408,bettm001,TOR201604080,3_0,LOB,0,53/G
25407,bettm001,TOR201604080,3_0,RLSP,0,53/G
25406,pedrd001,TOR201604080,3_0,AB,1,9/L
25405,pedrd001,TOR201604080,3_0,PA,1,9/L
25404,pedrd001,TOR201604080,3_0,LOB,0,9/L
25403,pedrd001,TOR201604080,3_0,RLSP,0,9/L
25402,bogax001,TOR201604080,3_0,AB,1,S9/L
25401,bogax001,TOR201604080,3_0,PA,1,S9/L
25400,bogax001,TOR201604080,3_0,H,1,S9/L
25399,ortid001,TOR201604080,3_0,AB,1,D8/L.1-H
25398,ortid001,TOR201604080,3_0,PA,1,D8/L.1-H
25397,ortid001,TOR201604080,3_0,H,1,D8/L.1-H
25396,ortid001,TOR201604080,3_0,D,1,D8/L.1-H
