Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,RE24,DFS(DK),DFS(FD),Pos
1,564,1,Apr 3,TOR,@,TBR,W5-3,CG,5,5,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.200,.200,.200,.400,2,.90,0.003,-0.29,,,3B
2,565,2,Apr 4,TOR,@,TBR,W5-3,CG,4,3,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,.250,.333,.625,.958,2,.45,0.056,1.13,,,3B
3,566,3,Apr 5,TOR,@,TBR,L2-3,CG,5,5,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.231,.286,.462,.747,2,1.69,0.003,-0.69,,,3B
4,567,4,Apr 6,TOR,@,TBR,L3-5,GS-7,4,3,1,1,0,0,1,3,1,0,0,0,0,0,0,0,0,0,.250,.333,.625,.958,2,.95,0.239,2.36,,,3B
5,568,5,Apr 8,TOR,,BOS,L7-8,CG,5,5,1,1,0,0,1,4,0,0,1,0,0,0,0,0,0,0,.238,.304,.667,.971,2,1.49,-0.057,0.73,,,DH
6,569,6,Apr 9,TOR,,BOS,L4-8,CG,4,4,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.280,.333,.680,1.013,2,.71,0.068,0.56,,,DH
7,570,7,Apr 10,TOR,,BOS,W3-0,CG,4,4,2,2,0,0,1,1,0,0,2,0,0,0,0,0,0,0,.310,.355,.759,1.113,2,.63,0.064,1.28,,,DH
8,571,8,Apr 12,TOR,,NYY,L2-3,CG,4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,.313,.371,.719,1.090,2,1.30,0.127,0.80,,,3B
9,572,9,Apr 13,TOR,,NYY,W7-2,CG,4,4,1,1,1,0,0,0,0,0,2,0,0,0,0,1,0,0,.306,.359,.694,1.053,2,.77,-0.011,-0.24,,,3B
10,573,10,Apr 14,TOR,,NYY,W4-2,CG,4,4,1,2,1,0,1,3,0,0,1,0,0,0,0,0,0,0,.325,.372,.775,1.147,2,1.40,0.314,2.11,,,3B
11,574,11,Apr 15,TOR,@,BOS,L3-5,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.295,.340,.705,1.045,2,.96,-0.103,-0.92,,,3B
12,575,12,Apr 16,TOR,@,BOS,L2-4,CG,4,4,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,.313,.353,.729,1.082,2,.83,0.080,0.71,,,3B
13,576,13,Apr 17,TOR,@,BOS,W5-3,CG,5,5,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.321,.357,.717,1.074,2,.71,0.090,1.10,,,3B
14,577,14,Apr 18,TOR,@,BOS,W4-3,CG,5,2,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,.309,.377,.691,1.068,2,1.36,0.037,0.28,,,3B
15,578,15,Apr 19,TOR,@,BAL,W4-3,CG,5,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.293,.379,.655,1.034,2,.76,-0.046,-0.44,,,3B
16,579,16,Apr 20,TOR,@,BAL,L3-4,CG(10),5,5,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,.286,.366,.667,1.033,2,1.63,-0.028,-0.09,,,3B
17,580,17,Apr 21,TOR,@,BAL,L2-3,CG,4,4,1,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,.284,.360,.657,1.017,2,1.28,0.017,0.46,,,3B
18,581,18,Apr 22,TOR,,OAK,L5-8,CG,5,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.282,.363,.634,.996,2,.86,0.034,0.22,,,3B
19,582,19,Apr 23,TOR,,OAK,W9-3,CG,5,4,2,3,0,0,1,4,0,0,0,1,0,0,0,0,0,0,.307,.388,.680,1.068,2,.72,0.147,2.59,,,3B
20,583,20,Apr 24,TOR,,OAK,W6-3,CG,5,4,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,.304,.389,.671,1.060,2,.61,0.037,-0.13,,,3B
21,584,21,Apr 25,TOR,,CHW,L5-7,CG,5,5,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,.298,.379,.655,1.034,2,.83,-0.047,-0.85,,,DH
22,585,22,Apr 26,TOR,,CHW,L1-10,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.284,.364,.625,.989,2,.50,-0.054,-0.84,,,DH
23,586,23,Apr 27,TOR,,CHW,L0-4,CG,4,3,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.297,.379,.637,1.016,2,.92,0.088,0.78,,,3B
24,587,24,Apr 29,TOR,@,TBR,W6-1,CG,4,3,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.298,.383,.660,1.043,2,.43,0.116,1.00,,,3B
25,588,25,Apr 30,TOR,@,TBR,L3-4,CG,4,2,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.292,.387,.646,1.033,2,.90,-0.005,-0.02,,,3B
26,589,26,May 1,TOR,@,TBR,W5-1,CG,4,3,2,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,.293,.391,.667,1.058,2,1.88,0.163,0.86,,,3B
27,590,27,May 2,TOR,,TEX,L1-2,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.291,.387,.650,1.037,2,1.79,0.057,-0.10,,,3B
28,591,28,May 3,TOR,,TEX,W3-1,CG(10),5,3,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.292,.395,.642,1.037,2,2.61,-0.065,0.02,,,3B
29,592,29,May 4,TOR,,TEX,W4-3,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.282,.383,.618,1.001,2,1.04,-0.115,-0.89,,,3B
30,593,30,May 5,TOR,,TEX,W12-2,CG,5,3,3,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,.283,.391,.611,1.002,2,.41,0.050,0.60,,,3B
31,594,31,May 6,TOR,,LAD,W5-2,CG,4,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,.278,.394,.600,.994,2,1.57,-0.053,-0.21,,,3B
32,595,32,May 7,TOR,,LAD,L2-6,CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.277,.390,.588,.978,2,.77,-0.041,-0.34,,,3B
33,596,33,May 8,TOR,,LAD,L2-4,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.268,.379,.569,.948,2,1.29,-0.129,-0.81,,,3B
34,597,34,May 9,TOR,@,SFG,W3-1,CG,5,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.268,.380,.559,.939,2,.75,0.038,0.33,,,3B
35,598,35,May 10,TOR,@,SFG,W4-0,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.267,.377,.550,.926,2,.59,-0.020,-0.27,,,3B
36,599,36,May 11,TOR,@,SFG,L4-5,CG(13),7,6,2,4,1,0,0,0,1,0,0,0,0,0,0,0,1,0,.285,.391,.562,.953,2,1.58,0.110,1.15,,,3B
37,600,37,May 13,TOR,@,TEX,W5-0,CG,5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.275,.380,.542,.922,2,.72,-0.090,-1.11,,,3B
38,601,38,May 14,TOR,@,TEX,L5-6,CG(10),5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.265,.368,.524,.892,2,1.14,-0.149,-1.23,,,3B
39,602,39,May 15,TOR,@,TEX,L6-7,GS-8,5,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.258,.364,.510,.874,2,1.41,-0.097,-1.26,,,3B
40,603,40,May 16,TOR,,TBR,L2-13,GS-6,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.260,.363,.513,.876,2,.25,-0.016,0.55,,,3B
41,604,41,May 17,TOR,,TBR,L2-12,GS-9,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.253,.355,.500,.855,2,.78,-0.079,-1.15,,,3B
42,605,43 (1),May 19,TOR,@,MIN,W3-2,CG(11),5,4,1,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,.247,.351,.488,.839,2,1.50,-0.178,-0.98,,,3B
43,606,44,May 20,TOR,@,MIN,W9-3,CG,5,5,1,2,1,0,1,2,0,0,1,0,0,0,0,0,0,0,.251,.352,.509,.861,2,.47,0.171,1.51,,,3B
44,607,45,May 21,TOR,@,MIN,L3-5,GS-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.351,.506,.856,2,.62,-0.016,-0.16,,,3B
45,608,46,May 22,TOR,@,MIN,W3-1,CG,4,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.250,.348,.517,.866,2,.76,0.032,0.14,,,3B
46,609,47,May 24,TOR,@,NYY,L0-6,CG,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.246,.343,.509,.852,2,1.19,-0.072,-0.82,,,3B
47,610,48,May 25,TOR,@,NYY,W8-4,CG,5,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.246,.345,.503,.847,2,.69,-0.041,-0.24,,,3B
